iauName,WISE Name,GLong,GLat,Radius,VLSR(km/s),Dist.<br>(kpc),Err Dist.<br>(kpc),Dist. Method,Dist. Author,WISE 12um<br>(Jy),flux,fluxErr,flux_noPS,flux_err_noPS,distance_kpc,distance_err_kpc,radius_wcs,physical_radius_pc,ne,N_Ly,Spectral Type
G038.551+00.161,G038.550+00.163,38.55,0.163,42.5,26.4,11.1092,0.375589,HIEA/Kin,Anderson et al. (2012),5.00689,0.1889277547622657,0.0002673805537652,0.1889277547622657,0.0002673805537652,11.25,0.28,0.567,1.855501418078685,31.43,48.36,O7.5
G038.652+00.087,G038.652+00.087,38.652,0.087,42.5,-40.0,16.3354,0.314107,OG/Kin,,0.459356,0.0401223556885358,0.000914802664172,0.0401223556885358,0.000914802664172,13.89,0.42,0.418,1.68890117082394,20.61,47.87,O9
G038.644-00.226,G038.643-00.227,38.643,-0.227,42.5,63.8,8.65433,0.444271,HISA (Mol)/Kin,Urquhart et al. (2012)/Roman-Duval et al. (2009),2.68432,0.027483348455422,0.0002157099667485,0.027483348455422,0.0002157099667485,8.8,0.41,0.523,1.338782633990255,15.31,47.31,B0
G038.740-00.140,G038.738-00.140,38.738,-0.14,105.5,60.9,9.22389,0.344314,HIEA/Kin,Anderson et al. (2012),9.30954,0.1662235867099137,0.0044005276618888,0.1662235867099137,0.0044005276618888,8.87,0.44,1.47,3.792858701185368,7.97,48.1,O8.5
G038.840+00.496,G038.840+00.495,38.84,0.495,84.4,-43.2,16.6152,0.294224,OG/Kin,,2.94406,0.1065702649710649,0.0018203210679224,0.1065702649710649,0.0018203210679224,16.62,0.96,1.06,5.124630935931933,7.61,48.45,O7.5
G038.856-00.136,G038.861-00.135,38.861,-0.134,147.2,64.5,8.8609,0.441081,HIEA/Kin,Anderson et al. (2012),3.36931,0.2040093157853923,0.006803464521746,0.2003882600407732,0.0068065485705888,4.19,0.56,2.037,2.4827372554723293,7.87,47.54,O9.5
G038.930-00.386,G038.926-00.389,38.926,-0.389,79.3,42.1,,,,,28.5936,0.057671132700451,0.0003108441392472,0.057671132700451,0.0003108441392472,1.9,0.07,0.823,0.4548614646207548,24.32,46.3,B0
G038.990-00.264,G038.978-00.269,38.978,-0.268,60.0,51.5,,,,,0.586978,0.0427619286842948,0.0013056884681978,0.0427619286842948,0.0013056884681978,8.83,0.53,1.565,4.0197658352119845,3.68,47.51,O9.5
G039.162-00.033,G039.170-00.037,39.171,-0.037,157.4,18.5,,,,,7.58664,0.1702168601654274,0.0018592361850883,0.1702168601654274,0.0018592361850883,11.35,0.35,2.425,8.006326812595448,3.36,48.32,O8
G039.178-00.399,G039.176-00.399,39.177,-0.398,114.2,55.5,9.45389,0.333421,HIEA/Kin,Anderson et al. (2012),9.83419,0.1973429110774036,0.0017291485706303,0.1973429110774036,0.0017291485706303,8.68,0.47,1.728,4.3630397789251685,6.88,48.15,O8.5
